Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6977_v5_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6978_nls_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6979_nes_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6980_mt-MAFG_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6981_MAFG-mt_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6982_v5_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6983_nls_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6984_nes_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6985_mt-MAFG_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6986_MAFG-mt_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6987_v5_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6988_nls_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6989_nes_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6990_mt-MAFG_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6991_MAFG-mt_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6992_v5_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6993_nls_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6994_nes_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6995_mt-MAFG_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6996_MAFG-mt_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6997_v5_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6998_nls_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6999_nes_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7000_mt-MAFG_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7001_MAFG-mt_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7002_v5_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7003_nls_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7004_nes_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7005_mt-MAFG_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7006_MAFG-mt_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7007_v5_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7008_nls_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7009_nes_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7010_mt-MAFG_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7011_MAFG-mt_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7012_v5_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7013_nls_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7014_nes_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7015_mt-MAFG_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7016_MAFG-mt_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7017_v5_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7018_nls_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7019_nes_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7020_mt-MAFG_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7021_MAFG-mt_sulf_3.raw
P19484	TFEB_HUMAN	TFEB	Transcription factor EB	2	1									7147.68	6054.89				3011.48					6845.06	6295.4				11698.8	7930.32				10024	4654															7877.97
P19525	E2AK2_HUMAN	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	4	4				6668.53	5606.74		10066.6		6010.95	4056.38						4904.16			4970.16	5195.28	4821.4	5921.78		5587.86	5442.19		5794.71	4928.04	6024.94	5784.21									5904.56				6246.75		6251.45
P19623	SPEE_HUMAN	SRM	Spermidine synthase	5	5	168789	123679	154120	120543	125130	106553	145557	60093.1	108967	53923.2	141670	172539		115765	137403	169876	198675	107893	69462.9	105401	149477	120745	111583	91129.4	68152.2	148962	159297	158673	139003	123508	100668	143630	114134	101584	180980	99998	105435	94029.9	100976	66723.5	123245	152622	122108	103847	147753
P19793	RXRA_HUMAN	RXRA	Retinoic acid receptor RXR-alpha	5	3				15420.5					28588.3	16343.7				14028.9	12466.2				18590.1	8202.62				23846.8	12224.5				9781.38	7159.38									15097.8					20749.7	10401.6
P19823	ITIH2_HUMAN	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	3	3							314379																																				25996.1		80026.1
P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	3	3	8833.51		10168.5	15833.6	26287.9	13698.9	97998.2	11505.5	24195.7	19211.1		15186.5		10317.3	9826.29	28965.5		17677.6	12752.1	13058.1	26964.8	23769.4	11797.3	24194.6	22402.8	43735.1	43244	14219	21013.8	18261			11568.5		10966.2			7919.83	12436.5	14290.8	13481.8	12573.7	10851.3	12360.9	32836.8
P20073	ANXA7_HUMAN	ANXA7	Annexin A7	2	2					2687.79		39548.3		4459.94							16924.2					21781.4	12296.2				11287.1	17756.6	9016.87	5839																5507.36
P20248	CCNA2_HUMAN	CCNA2	Cyclin-A2	1	1				6930.92	6171.86				8757.13	4191.6																																		7233.45	5788.4
P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	3	2	80753.2	72193.4	85256.5	94745	93739	68216.8	193984	68887.4	89816.1	83553.8	106316	107622		97832.7	91125.2	168791	115931	195041	103436	87320.2	112612	205858	212892	120073	113503	175129	164368	135519	133204	120528	95382.3	74562.2	76609.6	90701.4	114399	102636	116879	94797	75151.3	110250	90093.5	206835	61930.4	40002.4	85456.4
P20340;Q9NRW1	RAB6A_HUMAN;RAB6B_HUMAN	RAB6A;RAB6B	Ras-related protein Rab-6A	2	0							10115									10499.7		11281.8	4255.75		9302.69	20218.5			8702.27			4549.54	13486.3	6614.69															8143.56
P20585	MSH3_HUMAN	MSH3	DNA mismatch repair protein Msh3	16	16				639305	340591				786876	377930				601966	262710				621803	346270		95772.4		673313	339987				502012	287069				634569	233657				761951	366243				716088	256437
P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	1	1							51984.6																																						25310
P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	4	4						9519.17	9620.08			9172.51						36903.5			8708.09	7411.04	43713.6			6217.12	11112.7	49530.4	28096.6	6313.01	10590.6	7436.28															6952.67
P20810	ICAL_HUMAN	CAST	Calpastatin	2	2	10407.8	12733.4	6953.38		6469.34	9274.52	6615.62		5702.98	5383.35				7344.9	6525.78		10514.6	8473.79	3547.34	5635.4		6949.85	7887.76		5874.76			13402.1	8305.55	7968.2	14994.6							9060.25	8478.88		7527.3		10401.3	8961.39	6574.38
P21127	CD11B_HUMAN	CDK11B	Cyclin-dependent kinase 11B	8	1				13307.5	14572.5		8232.59		16749.7	15869.3		9793.6		10412.4		4922.53			18336	12464.1		11904.6		15805.2	14915.9		12583		13803.1	11067.1					14987.3					15407.1				18944.9	11743.8
P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	4	4	207641	142570	167102	115571	90534	111614	105598	137709	76154.4	38762	103809	196982		107916	106996	20940.6	193166	156140	50125.7	102212		143757	139368	60161.2	46682.5	22388.5	24416.4	173912	91595.9	90740.2	198733	75958	116640	78191.2	104126	111814	186963	146660	79133.4	26054.6	132292	166234	168931	60864	107461
P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	2	1	21441.6	24835.8		14666.1	18026.3	14982.4	28172.1		16891.9	11979.8				11182.3		19307		25400.7	13612.9	16571.1	21130.8	28186.4	24118.2	13116	7720.18	21562.3	18753.3	34598.8	19306.6	15726.7						21856.3					24261.5	43729.9	14469.8	11309.6	17431.9
P21283;Q8NEY4	VATC1_HUMAN;VATC2_HUMAN	ATP6V1C1;ATP6V1C2	V-type proton ATPase subunit C 1	1	0		30264.2	16292.6	17354.4		28743	66342.2		16181.1										10823.4				13992.4					15684.5	9659.89						21860.9						16019.5		31352.3	13108.5	21345.7
P21333	FLNA_HUMAN	FLNA	Filamin-A	36	32	158864	57401.1	211166	139266	122310	196801	359246	363750	134466	135155	173879	75245.2	502386	113805	160290	211682	81424.5	361942	103465	130064	183143	51141.3	388529	112384	117565	213052	67404.6	277850	105372	132785	218473	63358.1	317899	125251	129491	292118	65327.4	302723	124759	150227	164397	64010	261143	150103	177705
P21675	TAF1_HUMAN	TAF1	Transcription initiation factor TFIID subunit 1	6	2				14964.9					17469	14079.5				10192.9	9918.06				17243.1	14886.7				17907.2	16555.4				19058.5	10541.2														13209	14548.2
P21796	VDAC1_HUMAN	VDAC1	Non-selective voltage-gated ion channel VDAC1	5	5	82622.4	66600.9	36586.7	65965.9	40808.3	23814.4	132163	69178	33294.4	15588.1	87094.6	76309.2		32929.5		160945	71324.5	62959.9	36824.6	39130.9	50789.4	67089.9	48599.7	28049.1	28134.9	127472	113629	50937.5	51117.2	40738.9	60473.6	30587.7	94029.2	57191.8	40553.1	67008.6	51355.4	17333	58749.1	50362.1	49590.5	37824.1	41870.2	31591.3	46014.6
P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1	2	2				5966.11	5700.84		19674.3		5582.99	4464.45						2641.76			4788.98		6656.43	4366.39		3429.34	4709.19	8584.94		3066.34	5814.31	3258.82				5771.68	5765.37						4115.52			6343.92	6331.96
P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	6	6	205936	76032.9	185948	206957	102085	178830	52427.8		150956	78846.6	154190	183306	111417	143247	133244		208220	203298	86543.2	145356		171759	217680	92496.1	71574.5			220250	136848	127816	233740			87897.5	84485.9	239833	231408	195562	158502	75364.5	162489	253480	161824	94633.5	138922
P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	4	3	71305.2	105610	68002.4	118345	108569	97106.8	70692.3	143346	100062	71016.9	112505		260700	84172.6	89043.9	103635	110245	124892	74791.4	89957.6	103755	131310	105253	80974.9	101433	152693	120879	91379	104059	108648	84103	119813	124663	133542	164011		95264.2	82830.6	112366	158977	69070.2	113605	87103.9	94378.8	88850.6
P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	14	14	188527	209613	174689	206165	185764	181906	213183	270718	174382	132392	230423	202247		165482	196566	124032	246355	178235	111789	166406	113057	183521	201614	151780	131132	128205	145570	194121	178665	169117	261118	220704	280606	184690	249563	211240	209401	211588	175694	180291	191633	260251	231614	191237	182315
P22234	PUR6_HUMAN	PAICS	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase	5	5	11664.2			9974.37	17983.1	14364.2	101253	16505.6	18103.3	18502.1			28727.3	13498.5		47375		38867.2	16776.5	15024.2	36318.3	25796.9	35020.4	12945.3	20737	74233.8	40057.3	33131.4	20178.7	20702.9					19894.5			18156.9			16725	24526.5	17593.8	9585.81	26511.7
P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	1	1		5862.99		8741.36	2722.46				3605.57					2732.33		1951.15						6919.52	3552.92					8337.68	8565.66										4350.02			3458.26	4632.21		3877.26
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	18	18	901953	959053	853116	711849	849896	851520	2.39047e+06	1.44994e+06	612066	524716	921495	1.03021e+06	904243	590773	749464	1.74593e+06	1.09091e+06	715130	456933	610654	1.93565e+06	795736	790405	456196	586175	1.52154e+06	1.36378e+06	889818	689400	709155	1.33278e+06	944429	1.12688e+06	694110	981392	898158	885058	859227	708903	863081	765716	972779	913837	688801	987347
P22570	ADRO_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial	1	1	4073.27						7869.54		3160.7	2094.05						4475.19		4733.74	1656.21		5367.34	3121.02	4448.95			6155	6274.59	2941.62													4214.32				2195.05
P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	6	6	449633	491202	577812	575475	459831	417269	476154	663665	503409	375644	851612	1.03035e+06	675271	424005	524910	2.53969e+06	1.05333e+06	459656	462349	506399	1.69146e+06	1.05844e+06	505210	709787	658641	2.79896e+06	2.40502e+06	311250	595184	514132	809048	1.27717e+06	670533	906351	869183	973369	928432	418381	836885	900806	382402	1.00706e+06	328735	556328	438679
P22670	RFX1_HUMAN	RFX1	MHC class II regulatory factor RFX1	1	1														8313.98					20499.5	8508.16																									
P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	7	7	51898.6	59450.6	36013.7	74804.9	81076.8	52397.9	63791.5	74069.5	71596.3	46051.2	101256	70267.1	77703	63854.1	59375.2	73894.4	42991.4	102447	62234.5	64041.5	71105.4	141286	93876.5	54009.8	64593.7	100496	98211.9	111618	103840	82275.4	50973.2		55579.2	50299.1	67538.2		48197.1	39904.1	49730	64366.6	68901.9	84624.9	65000.7	58606.5	71818.1
P23141	EST1_HUMAN	CES1	Liver carboxylesterase 1	2	1							55615.5																																						24590.4
P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	3	3				9086.99	10705.2		12853.2		13200.7	15002.4				7626.02					9619.18	12193.7		4233.86		8945.92	12551.5				8495.5	9160.12									11535.2	13244.9				14307.3	10422.6
P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	6	6	51559.2	55738.3	35171	66677.8	62241.6		103560	60934.9	74628.8	50963.8		65163.9	85276.4	53833	63950.9	429330		155183	105005	93685.5	345695	203458	114019	110297	120652	471789	323107	99480	129615	114228	42544.7	40497.3		70984.1	70399.5				64872.1	94915.4	71253.6	61662.7	37818.6	65443.5	88219.1
P23258	TBG1_HUMAN	TUBG1	Tubulin gamma-1 chain	2	1					6837.97		6442.63		3855.64	6896.42				5870.37	7824.33	7565.36		6197.93	11815.6	8394.2	6945.91	11815	6583.63	11359.4	11739.2	10995.3	7051.56	6931.22	9690.87	8431.81															7926.76
P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	6	6	80176.2	69460.2	104937	85116.8	50848.4	61053.7	150534	189991	68875.2	42640				29825.9		365741		51892.5	28864.8	27191.8	274326	56913.3	77249.6	40337.4	66288.9	420451	352274	59919.5	66886.5	67049.7	134665	115658	173557	86792.3	148746	70634.3	95592.7	37554.8	79473.7	101699	84439.7	76656.9	113443	56485.4	80849.5
P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic	5	5				87077.1	162050		78795.3		125543	169785				117806	138055	481470			177629	138277	609594	337794	218131	186545	155074	220750	225398	318995	327271	228161											167449		173500	61345.5	253000
P23396	RS3_HUMAN	RPS3	Small ribosomal subunit protein uS3	11	11	526920	627040	660955	1.04659e+06	965645	623424	1.42954e+06	921063	1.13087e+06	1.07869e+06	657593	834881	2.31929e+06	835955	937892	740562	954965	1.10741e+06	939657	874490	702913	1.39375e+06	1.28197e+06	1.17518e+06	1.06017e+06	975281	917421	782440	983566	996474	977373	984622	808322	1.03641e+06	896840	1.13057e+06	974188	1.00514e+06	1.0587e+06	1.19667e+06	793747	1.30522e+06	780770	934179	1.13671e+06
P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	8	8	27830.3	26558.3	24569.4	26406.7	29087.8	22475.5	144965	40342.7	23352.3	20662.3	22069.2	19558.4		19047.5		12192.8	25788.8	19595.4	15850.1	16402.3		35318.1	31898.8	15340.5	18488.2	21502.7	16603	30588.6	22317	27108.3		19154.9		26641	21832.2		16604.9		17175.1		30161.1			24493.5	46375
P23528	COF1_HUMAN	CFL1	Cofilin-1	4	3	1.24897e+06	1.38668e+06	1.11995e+06	1.0398e+06	834582	1.14424e+06	1.48478e+06	1.62259e+06	800977	563551	1.94374e+06	1.62664e+06	1.09544e+06	815480	998489	561755	1.36005e+06	952376	530107	672581	664519	966325	1.18266e+06	569430	656954	561666	606235	1.19176e+06	742966	820842	2.00402e+06	1.10804e+06	1.48013e+06	1.00887e+06	1.20326e+06	1.29619e+06	1.07454e+06	1.21589e+06	1.02927e+06	1.4624e+06	1.31913e+06	1.31428e+06	1.49949e+06	997965	851659
P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B	2	2			4553.91					10345.1		7163.76						5063.59		17159.4		7337.17			19690	4201.73	3909.86	11394.4		9681.99	3393.68		4531.93													10707.2	8127.04
P23769	GATA2_HUMAN	GATA2	Endothelial transcription factor GATA-2	1	1																																													5129.3
P23771	GATA3_HUMAN	GATA3	Trans-acting T-cell-specific transcription factor GATA-3	2	2				11443.9	4540.9				14342.8	6347.63				8646.11	5501.62				8633.3	7310.98				10834	5559.62				6576.72	4201.49				9356.53	8202.44				12170.9					12547.4	4795.96
P23919	KTHY_HUMAN	DTYMK	Thymidylate kinase	1	1							52041.3									14703.5					9739.37	11401.7	10898.2				11257																		17253.8
P23921	RIR1_HUMAN	RRM1	Ribonucleoside-diphosphate reductase large subunit	7	7	94684.8	114069	91232.2	79742.8	98240.7	82600.9	94793.9	141523	78353	45179.4	90149.4	108851	87169.4	68344.1	81622.6	58848.1	113788	75912.5	41066.8	68386.7	41474.3	78522.3	74482.5	45300.1	45057.6	78850.1	67893.8	105182	74428.6	74835.2	86338.2	83881.7	122810	80014.7	109823	82885.2	87763.6	87131.2	71843.3	88936	80105.5	97645.3	81601.2	76224.6	67531.1
P24468;P10588;P10589	COT1_HUMAN;COT2_HUMAN;NR2F6_HUMAN	NR2F1;NR2F2;NR2F6	Nuclear receptor subfamily 2 group F member 6	1	0				4280.16					7208.94	4473.91				3199.93					5284.23			5164.82		6628.43	3118.5			5187.46	4766.73	4090.16															4425.88
P24534	EF1B_HUMAN	EEF1B2	Elongation factor 1-beta	5	5	454083	582660	449810	444862	399868	323541	272929	651165	308194	156110	565091	554597	534221	415689	440317	126198	488262	295615	214496	292964	112673	270668	300137	212334	173653	134876	123523	502895	415913	335159	410975	344887	506268	433888	509132	295324	376314	310528	309412	321875	367613	382575	395498	307209	225973
P24539	AT5F1_HUMAN	ATP5PB	ATP synthase peripheral stalk subunit b, mitochondrial	1	1																33417.1					12778.1					15854.7	27290.3																		
P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase	3	3		14567.2	13162.4	11560.7	16642.4	12527.8	71337.2		18616.6	13524.4				13898.3		64280.4			6488.69	12325.1	86593.1	7549.8	10984.6			62368.6	72932.2	17484.8	12750.3	15305.8			16116	15772.5	14570.2			11260.7			9727.72		18229.4	13811.7	23334.4
P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	5	5	103230	119051	83128.9	75299	61687.8	102788	57169.9	159703	72723.6	33450.3	64962.7	80970.7	364138	76811.5	43751.1	75337.2	58352.6	65399.4	37145.8	47245.8	73692.4	89275.5	76639.9	43309.8	27343.1	91910.9	82812.7	111205	68316	58652.9	88242.6	64171.5	84083	59089.3	83788.4	70535.9	87219.5	55226.6	59807.2	42395.6	82784.7	95733.6	81560.1	53642.5	48137.6
P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1	6	6			17299.8	22463.7	29281.3	14463.8	11414.1		37884.8	29262.7				22731.3	22998.4			16450.7	20409.2	19685.4	10961.9	19771.4		24659	22707		17309.8	17917.1	28293.6	27449.5					16515.8				19128.5		15612.7	17843.3		25011.3	19429.4
P24941;Q00526	CDK2_HUMAN;CDK3_HUMAN	CDK2;CDK3	Cyclin-dependent kinase 2	1	0				10336.4	9672.81	6297.43	11449.3		7544.52	7822.34				6315.24	5755.91	18223.9		6561.15	15150.4	12090.8	13977.2	10071.7	12953.2	11217.6	9886.8	20188.7	15724.2	7481.56	13678.5	12707.5								7177.68			9048.68	6616.36	3787.4	4934.25	14427.9
P25205	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	7	7	34326.3	28385.2	31176.5	44582.1	35099.2	17948.1	149392	38773.4	41262.7	39565.1		42611.2		29722.4	29837.8	59726.2	37492.3	38563.8	26927.5	40825.8	55556	35584.1	42512.2	33319.1	32945.8	76001.2	82796.3	32955.2	38344.3	40301.5	38059	41947.5	38042	60723.6	51896.1	42032.2	28996.3	31133	49112.4	41492.4	31772.6	36436.5	33281.1	39948.1	41454.4
P25311	ZA2G_HUMAN	AZGP1	Zinc-alpha-2-glycoprotein	1	1							2930.28				8679.55	6484.05																	2731.98										6675.24						2299.57
P25398	RS12_HUMAN	RPS12	Small ribosomal subunit protein eS12	2	2	890242	1.03883e+06	1.08029e+06	671285	898589	1.04981e+06	929128	1.79769e+06	724634	346438	1.3253e+06	1.29588e+06	709302	610236	611788	435337	1.32152e+06	585652	393025	579321	360004	733431	691685	479690	352520	469149	455402	894468	647480	550400	1.15708e+06	1.32651e+06	1.25741e+06	813686	1.61128e+06	945521	920465	775886	772020	984545	832770	962251	915431	741426	500356
P25440	BRD2_HUMAN	BRD2	Bromodomain-containing protein 2	6	6				96917.7	55894.2				134893	71277.8				81664	80204.3				101157	105525		38046.5		142218	77809.2		27491.3		97067	48543.9				100026					111548	55534.9				144702	74571
P25490	TYY1_HUMAN	YY1	Transcriptional repressor protein YY1	3	1		8479.82		69134.7	18445	5647.64			62027.5	20286.7				33967.6	19362.4	9532.96			44264	35101.2	7614.09	5754.53	11324.3	28025.7	49687.5		6831.06		39758.7	17962.8				58270.9	40055.3		9893.08		94848	59172.8		10318.9		64174.4	43606.2
P25685	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1	4	4							74210.7									17836.7				5415.57	11014.8					17561.1	19716.1	7824.11																	18052.5
P25705	ATPA_HUMAN	ATP5F1A	ATP synthase F(1) complex subunit alpha, mitochondrial	14	14	189926	263011	238145	326897	296365	227406	422461	330572	328239	243938	320829	257797	485399	282177	274979	534706	266451	517330	355908	258394	531510	618116	533654	408224	352546	746402	651414	405632	442506	397449	230190	243985	241583	329746	333375	268979	290316	243681	305877	410647	342592	449969	227591	253726	361813
P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	2	2							5768.7																				5143.85																		17619.7
P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	1	1	35515.9																																												
P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	1	1		18898.6	12394.9		6424.36	14250	96874.1	38373.6	13884.7	12325.2		18202.1							5728.06		12146.3	9553.12							5734.08	8323.84											13082.3	17972.2	15636.4	14661.2	26151.5
P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	2	2	42106.1	24054.7	59132.4	81697.2	60167.6	38411.7	109132	81445	76467.9	71443.9				64948.8	108531	64973.4		46973.7	47028	141819	34123.7	59226.7	49757.2	65820.6	110518	64718.5	43811.7	49003.6	61982.7	95749.2	56124.3	99619.1	46577.2	127850	100246	46817.4	53495.4	58084.4	86674.9		38444.1	46704.8	60233.7	62885.9	82417.3
P26038	MOES_HUMAN	MSN	Moesin	7	4	75495.2	64303.1	79461.2	71343.2	63181.8	57943.2	204032	134719	53626.7	42821.4	55959.2	74457.1		25672.1	43673.4	102022	50105.9	47446	27511.7	39506.9	69385.8	31672.6	93544.9	30713	54755.7	130245	115604	31800.2	50699.6	53488.8	167867	166507	148514	123282	126747	113503	107983	116989	87163.8	192496	74099	84542.2	114790	53180.1	78723.7
P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	4	4	12253.4				10450		27654		10369.3	10215.2				10187.4		31378.6		18094.1	12494.9	13492.6	27135.2	19404.8	15802.7	15052.7	12656.5	31786	37679.1	17580.6	18890.9	17163.7	11269.5				12463.5			8592.86	10112.5		7223.67			9317.97	15214.6
P26358	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1	8	8	55560.5		40821.5	76385.5	85402.8		119667		118823	71568.1				87232.6	85093.7	71215			79797	94644	53394.1	70865	60654.7	79564.8	98875.5	67338	63606.3	61394.8	98840.4	96262.4				74899.2	78293.3				80416.6		50228		65279.8	102135	82321
P26367	PAX6_HUMAN	PAX6	Paired box protein Pax-6	1	1									12754.8					15866.4					12660.4					18070.7	5523.96				14785.4	3957.61									15693.4					11217.9	
P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	2	2				16941.2	16138.6	5969.34	13258.9		19426.6	18075.1				13634.3	17896.1	33145.4			12591.3	14374.1	8245.41	8215.34		20111.5	20805.4	33893.6	33684.4		17789.1	15491.8				20058.8	19659.8				25963.5	33635.3	7714.87	12214.6		25774.6	8696.35
